cohort_month,M0_retention,M1_retention,M2_retention,M3_retention,M4_retention,M5_retention,M6_retention,M7_retention,M8_retention,M9_retention,M10_retention,M11_retention,M12_retention
2023-01-01,1.0,1.0,0.900523560209424,0.774869109947644,0.7172774869109948,0.643979057591623,0.5863874345549738,0.5287958115183246,0.47643979057591623,0.42408376963350786,0.3769633507853403,0.3403141361256545,0.2931937172774869
2023-02-01,1.0,1.0,0.9068627450980392,0.7843137254901961,0.7058823529411765,0.6421568627450981,0.6029411764705882,0.5245098039215687,0.47549019607843135,0.43137254901960786,0.38235294117647056,0.3480392156862745,0.29901960784313725
2023-03-01,1.0,1.0,0.9315789473684211,0.8210526315789474,0.7157894736842105,0.6105263157894737,0.5526315789473685,0.5052631578947369,0.4473684210526316,0.4105263157894737,0.39473684210526316,0.3368421052631579,0.3
2023-04-01,1.0,1.0,0.9244186046511628,0.8546511627906976,0.7441860465116279,0.6453488372093024,0.5813953488372093,0.5348837209302325,0.5,0.47093023255813954,0.4476744186046512,0.4186046511627907,0.38372093023255816
2023-05-01,1.0,1.0,0.9204545454545454,0.8693181818181818,0.7613636363636364,0.6931818181818182,0.6193181818181818,0.5795454545454546,0.5113636363636364,0.45454545454545453,0.4147727272727273,0.375,0.32954545454545453
2023-06-01,1.0,1.0,0.956989247311828,0.8333333333333334,0.7473118279569892,0.6989247311827957,0.6236559139784946,0.5591397849462365,0.5053763440860215,0.4838709677419355,0.40860215053763443,0.3548387096774194,0.3064516129032258
2023-07-01,1.0,1.0,0.9327731092436975,0.8319327731092437,0.7100840336134454,0.6428571428571429,0.5966386554621849,0.542016806722689,0.4789915966386555,0.42436974789915966,0.36134453781512604,0.3319327731092437,0.3025210084033613
2023-08-01,1.0,1.0,0.9154929577464789,0.8075117370892019,0.7276995305164319,0.6713615023474179,0.5915492957746479,0.539906103286385,0.4788732394366197,0.4460093896713615,0.39436619718309857,0.3427230046948357,0.29577464788732394
2023-09-01,1.0,1.0,0.9259259259259259,0.8465608465608465,0.7566137566137566,0.6931216931216931,0.6084656084656085,0.5978835978835979,0.544973544973545,0.49206349206349204,0.43915343915343913,0.4126984126984127,0.36507936507936506
2023-10-01,1.0,1.0,0.8960396039603961,0.7970297029702971,0.7178217821782178,0.6237623762376238,0.5643564356435643,0.48514851485148514,0.4306930693069307,0.41089108910891087,0.3712871287128713,0.33663366336633666,0.3069306930693069
2023-11-01,1.0,1.0,0.9597701149425287,0.8448275862068966,0.764367816091954,0.6954022988505747,0.632183908045977,0.5517241379310345,0.4942528735632184,0.4540229885057471,0.41379310344827586,0.3793103448275862,0.3390804597701149
2023-12-01,1.0,1.0,0.9422222222222222,0.8622222222222222,0.7733333333333333,0.6622222222222223,0.6133333333333333,0.5511111111111111,0.49333333333333335,0.4666666666666667,0.43555555555555553,0.39555555555555555,0.3333333333333333
2024-01-01,1.0,1.0,0.935,0.84,0.755,0.665,0.58,0.49,0.425,0.365,0.345,0.305,0.285
2024-02-01,1.0,1.0,0.9458128078817734,0.8423645320197044,0.7389162561576355,0.6551724137931034,0.5862068965517241,0.5024630541871922,0.458128078817734,0.43349753694581283,0.4088669950738916,0.3891625615763547,0.35960591133004927
2024-03-01,1.0,1.0,0.9138755980861244,0.7559808612440191,0.645933014354067,0.5598086124401914,0.4688995215311005,0.4258373205741627,0.3875598086124402,0.3588516746411483,0.3397129186602871,0.2822966507177033,0.2679425837320574
2024-04-01,1.0,1.0,0.9289099526066351,0.8341232227488151,0.7630331753554502,0.6540284360189573,0.6018957345971564,0.5497630331753555,0.4786729857819905,0.41232227488151657,0.36018957345971564,0.3222748815165877,0.2938388625592417
2024-05-01,1.0,1.0,0.9246231155778895,0.8592964824120602,0.7638190954773869,0.7185929648241206,0.6331658291457286,0.5628140703517588,0.5175879396984925,0.47738693467336685,0.4371859296482412,0.39195979899497485,0.34673366834170855
2024-06-01,1.0,1.0,0.9314285714285714,0.8628571428571429,0.7657142857142857,0.68,0.5942857142857143,0.5314285714285715,0.4685714285714286,0.4114285714285714,0.38285714285714284,0.32571428571428573,0.3142857142857143
2024-07-01,1.0,1.0,0.9400921658986175,0.8433179723502304,0.7880184331797235,0.7235023041474654,0.6175115207373272,0.5622119815668203,0.5253456221198156,0.48847926267281105,0.4377880184331797,0.391705069124424,0.3640552995391705
2024-08-01,1.0,1.0,0.9310344827586207,0.8325123152709359,0.7487684729064039,0.729064039408867,0.6748768472906403,0.6108374384236454,0.5615763546798029,0.5172413793103449,0.47783251231527096,0.43349753694581283,0.4236453201970443
2024-09-01,1.0,1.0,0.9390862944162437,0.8223350253807107,0.766497461928934,0.6751269035532995,0.6345177664974619,0.5685279187817259,0.5177664974619289,0.4720812182741117,0.4416243654822335,0.41116751269035534,0.3756345177664975
2024-10-01,1.0,1.0,0.9521531100478469,0.84688995215311,0.7177033492822966,0.645933014354067,0.5885167464114832,0.5311004784688995,0.4688995215311005,0.430622009569378,0.37799043062200954,0.3397129186602871,0.31100478468899523
2024-11-01,1.0,1.0,0.9705882352941176,0.9117647058823529,0.7990196078431373,0.7303921568627451,0.6666666666666666,0.6078431372549019,0.5588235294117647,0.5049019607843137,0.46568627450980393,0.4215686274509804,0.37254901960784315
2024-12-01,1.0,1.0,0.9348837209302325,0.827906976744186,0.7441860465116279,0.6930232558139535,0.6372093023255814,0.5906976744186047,0.5348837209302325,0.4930232558139535,0.4372093023255814,0.3953488372093023,0.3627906976744186
